fold,accuracy,f1_macro,tp,fp,tn,fn
1.0,0.5357142857142857,0.53550099535501,36.0,31.0,39.0,34.0
2.0,0.5142857142857142,0.5138888888888888,38.0,36.0,34.0,32.0
3.0,0.55,0.5481325887596701,34.0,27.0,43.0,36.0
4.0,0.5571428571428572,0.5570524596856501,40.0,32.0,38.0,30.0
5.0,0.5357142857142857,0.5287659882968256,46.0,41.0,29.0,24.0
3.0,0.5385714285714285,0.536668184197209,38.8,33.4,36.6,31.2
