fold,accuracy,f1_macro,tp,fp,tn,fn
1.0,0.5642857142857143,0.5592258064516129,32.0,23.0,47.0,38.0
2.0,0.5928571428571429,0.5928363692025103,41.0,28.0,42.0,29.0
3.0,0.5571428571428572,0.5571428571428572,39.0,31.0,39.0,31.0
4.0,0.5642857142857143,0.5642634828307567,39.0,30.0,40.0,31.0
5.0,0.5285714285714286,0.5166352793471437,48.0,44.0,26.0,22.0
3.0,0.5614285714285714,0.5580207589949762,39.8,31.2,38.8,30.2
