accuracy,loss,val_accuracy,val_loss,learning_rate
0.5446428656578064,0.09853453934192657,0.4214285612106323,0.0913144052028656,0.0010000000474974513
0.5553571581840515,0.08273734152317047,0.5214285850524902,0.08343084901571274,0.0010000000474974513
0.5821428298950195,0.07642293721437454,0.4928571283817291,0.07783324271440506,0.0010000000474974513
0.5732142925262451,0.06993521004915237,0.48571428656578064,0.07052996754646301,0.0010000000474974513
0.5892857313156128,0.06479596346616745,0.5214285850524902,0.06687308102846146,0.0010000000474974513
0.6107142567634583,0.060485150665044785,0.48571428656578064,0.06378480046987534,0.0010000000474974513
0.6321428418159485,0.057058267295360565,0.5428571701049805,0.06129012629389763,0.0010000000474974513
0.637499988079071,0.05463430657982826,0.5214285850524902,0.05927233770489693,0.0010000000474974513
0.6410714387893677,0.051999300718307495,0.5071428418159485,0.05677192658185959,0.0010000000474974513
0.6517857313156128,0.05012129992246628,0.4928571283817291,0.05542265996336937,0.0010000000474974513
0.6571428775787354,0.048333555459976196,0.5214285850524902,0.0539768822491169,0.0010000000474974513
0.6499999761581421,0.0474044531583786,0.5142857432365417,0.052611906081438065,0.0010000000474974513
0.6321428418159485,0.046459365636110306,0.5214285850524902,0.05357639491558075,0.0010000000474974513
0.6642857193946838,0.0453520193696022,0.5,0.05185359716415405,0.0010000000474974513
0.675000011920929,0.04419412091374397,0.5142857432365417,0.049976199865341187,0.0010000000474974513
0.6660714149475098,0.04324054718017578,0.5,0.04956740885972977,0.0010000000474974513
0.6910714507102966,0.042625997215509415,0.5428571701049805,0.04957134276628494,0.0010000000474974513
0.6821428537368774,0.04206187650561333,0.5,0.05005640164017677,0.0010000000474974513
0.6857143044471741,0.041391875594854355,0.4928571283817291,0.04940948262810707,0.0010000000474974513
0.7107142806053162,0.040648605674505234,0.4928571283817291,0.05036957934498787,0.0010000000474974513
0.7017857432365417,0.040341246873140335,0.5428571701049805,0.04919634386897087,0.0010000000474974513
0.6910714507102966,0.03994181379675865,0.5357142686843872,0.0496184341609478,0.0010000000474974513
0.7071428298950195,0.03953196480870247,0.5071428418159485,0.04907502606511116,0.0010000000474974513
0.7124999761581421,0.039173927158117294,0.5142857432365417,0.048316411674022675,0.0010000000474974513
0.7178571224212646,0.0388474203646183,0.5142857432365417,0.04931526258587837,0.0010000000474974513
0.7160714268684387,0.038971975445747375,0.5071428418159485,0.05010461062192917,0.0010000000474974513
0.7017857432365417,0.038486190140247345,0.4928571283817291,0.04914727061986923,0.0010000000474974513
0.7142857313156128,0.037983644753694534,0.5357142686843872,0.04904518648982048,0.0005000000237487257
0.7392857074737549,0.037583205848932266,0.5,0.04875905439257622,0.0005000000237487257
