fold,accuracy,f1_macro,tp,fp,tn,fn
1.0,0.5714285714285714,0.5713410900183711,39.0,29.0,41.0,31.0
2.0,0.5214285714285715,0.5212087182890103,35.0,32.0,38.0,35.0
3.0,0.5071428571428571,0.5071177100872493,36.0,35.0,35.0,34.0
4.0,0.5642857142857143,0.5642634828307567,39.0,30.0,40.0,31.0
5.0,0.5,0.49836199836199835,39.0,39.0,31.0,31.0
3.0,0.5328571428571429,0.5324585999174772,37.6,33.0,37.0,32.4
