Fold,Accuracy,Macro F1,Recall (truthful),Recall (deceitful),AUC
1,0.6142857142857143,0.6139705882352942,0.6428571428571429,0.5857142857142857,0.641326530612245
2,0.5785714285714286,0.5785499260166335,0.5857142857142857,0.5714285714285714,0.6040816326530613
3,0.5214285714285715,0.5172662240749318,0.6142857142857143,0.42857142857142855,0.5736734693877551
4,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6257142857142857
5,0.6,0.5986895986895987,0.5428571428571428,0.6571428571428571,0.6514285714285715
